dna_extraction_id,bio_sample_id,DNA_plate_number,plate_position,DNA_ext_date,DNA_conc_plate,DNA_conc_plate_dilutedx10,DNA_conc_individual,speedvac_DNA_conc_individual,days_between_DNA_x
DX__A-230622-w-12-4__8.0__11A__2023-07-31,A-230622-w-12-4,8.0,11A,2023-07-31,0.035,,,,4.0
DX__A-230622-w-12-6__8.0__11C__2023-07-31,A-230622-w-12-6,8.0,11C,2023-07-31,0.055,,,,4.0
DX__A-230622-w-12-7__8.0__11D__2023-07-31,A-230622-w-12-7,8.0,11D,2023-07-31,0.006,,,,4.0
DX__A-230622-w-13-1__8.0__11E__2023-07-31,A-230622-w-13-1,8.0,11E,2023-07-31,0.012,,,,4.0
DX__A-230622-w-13-2__8.0__11F__2023-07-31,A-230622-w-13-2,8.0,11F,2023-07-31,0.026,,,,4.0
DX__A-230622-w-13-3__8.0__11G__2023-07-31,A-230622-w-13-3,8.0,11G,2023-07-31,0.168,,,,4.0
DX__A-230622-w-13-4__8.0__11H__2023-07-31,A-230622-w-13-4,8.0,11H,2023-07-31,0.125,,,,4.0
DX__A-230622-w-13-5__8.0__12A__2023-07-31,A-230622-w-13-5,8.0,12A,2023-07-31,0.185,,,,4.0
DX__A-230622-w-13-6__8.0__12B__2023-07-31,A-230622-w-13-6,8.0,12B,2023-07-31,0.038,,,,4.0
DX__A-230622-w-13-7__8.0__12C__2023-07-31,A-230622-w-13-7,8.0,12C,2023-07-31,0.028,,,,4.0
DX__A-230622-w-14-1__8.0__12D__2023-07-31,A-230622-w-14-1,8.0,12D,2023-07-31,0.142,,,,4.0
DX__A-230622-w-7-4__8.0__6F__2023-07-26,A-230622-w-7-4,8.0,6F,2023-07-26,0.06,,,,5.0
DX__S-240622-w-20-3__5.0__6D__2023-03-03,S-240622-w-20-3,5.0,6D,2023-03-03,0.0378079092593205,,,,1.0
DX__S-240622-w-23-6__5.0__9D__2023-03-08,S-240622-w-23-6,5.0,9D,2023-03-08,0.3744852090689762,,,,6.0
DX__S-240622-w-20-5__5.0__6F__2023-03-03,S-240622-w-20-5,5.0,6F,2023-03-03,0.156444253223251,,,,1.0
DX__H-200622-w-23-7__7.0__9E__2023-06-26,H-200622-w-23-7,7.0,9E,2023-06-26,0.4823865914834586,,,,17.0
DX__H-200622-w-23-6__7.0__9D__2023-06-26,H-200622-w-23-6,7.0,9D,2023-06-26,0.1556208359355825,,,,17.0
DX__H-200622-w-23-5__7.0__9C__2023-06-26,H-200622-w-23-5,7.0,9C,2023-06-26,0.1533386056355218,,,,17.0
DX__H-200622-w-23-4__7.0__9B__2023-06-26,H-200622-w-23-4,7.0,9B,2023-06-26,0.3809223429228731,,,,17.0
DX__H-200622-w-23-3__7.0__9A__2023-06-26,H-200622-w-23-3,7.0,9A,2023-06-26,0.024087476702698,,,,17.0
DX__H-200622-w-23-2__7.0__8H__2023-06-26,H-200622-w-23-2,7.0,8H,2023-06-26,0.1881375883106891,,,,17.0
DX__H-200622-w-22-7__7.0__8F__2023-06-26,H-200622-w-22-7,7.0,8F,2023-06-26,0.000920939161239,,,,17.0
DX__H-200622-w-22-6__7.0__8E__2023-06-26,H-200622-w-22-6,7.0,8E,2023-06-26,0.0195744277547816,,,,17.0
DX__H-200622-w-22-5__7.0__8D__2023-06-26,H-200622-w-22-5,7.0,8D,2023-06-26,0.0751817178376527,,,,17.0
DX__H-200622-w-22-4__7.0__8C__2023-06-26,H-200622-w-22-4,7.0,8C,2023-06-26,0.0068444556109559,,,,17.0
DX__H-200622-w-22-2__7.0__8A__2023-06-26,H-200622-w-22-2,7.0,8A,2023-06-26,0.5029110171594213,,,,17.0
DX__H-200622-w-22-1__7.0__7H__2023-06-26,H-200622-w-22-1,7.0,7H,2023-06-26,0.0038201092877608,,,,17.0
DX__H-200622-w-20-1__7.0__6B__2023-07-10,H-200622-w-20-1,7.0,6B,2023-07-10,0.0106377414280011,,,,32.0
DX__H-200622-w-20-2__7.0__6C__2023-06-23,H-200622-w-20-2,7.0,6C,2023-06-23,0.1302190091678152,,,,15.0
DX__H-200622-w-20-3__7.0__6D__2023-06-23,H-200622-w-20-3,7.0,6D,2023-06-23,0.0016675257628259,,,,15.0
DX__H-200622-w-20-4__7.0__6E__2023-06-23,H-200622-w-20-4,7.0,6E,2023-06-23,0.0819837029533088,,,,15.0
DX__H-200622-w-20-5__7.0__6F__2023-06-23,H-200622-w-20-5,7.0,6F,2023-06-23,0.0272615874040558,,,,14.0
DX__H-200622-w-20-6__7.0__6G__2023-06-23,H-200622-w-20-6,7.0,6G,2023-06-23,0.6636640771586076,,,,14.0
DX__H-200622-w-20-7__7.0__6H__2023-06-23,H-200622-w-20-7,7.0,6H,2023-06-23,0.0348280414351093,,,,14.0
DX__H-200622-w-21-2__7.0__7B__2023-06-26,H-200622-w-21-2,7.0,7B,2023-06-26,0.1700138632637815,,,,17.0
DX__H-200622-w-21-3__7.0__7C__2023-06-26,H-200622-w-21-3,7.0,7C,2023-06-26,0.5347661239235406,,,,17.0
DX__H-200622-w-21-4__7.0__7D__2023-06-26,H-200622-w-21-4,7.0,7D,2023-06-26,0.2510565094528146,,,,17.0
DX__H-200622-w-21-5__7.0__7E__2023-06-26,H-200622-w-21-5,7.0,7E,2023-06-26,0.1860162988349225,,,,17.0
DX__H-200622-w-21-6__7.0__7F__2023-06-26,H-200622-w-21-6,7.0,7F,2023-06-26,0.3333397411624487,,,,17.0
DX__H-200622-w-21-7__7.0__7G__2023-06-26,H-200622-w-21-7,7.0,7G,2023-06-26,0.1119991666841764,,,,17.0
DX__H-200622-w-21-1__7.0__7A__2023-06-26,H-200622-w-21-1,7.0,7A,2023-06-26,0.0713571379714392,,,,17.0
DX__A-230622-w-3-5__8.0__3C__2023-07-25,A-230622-w-3-5,8.0,3C,2023-07-25,0.007,,,,12.0
DX__A-230622-w-3-6__8.0__3D__2023-07-25,A-230622-w-3-6,8.0,3D,2023-07-25,0.899,,,,12.0
DX__A-230622-w-3-7__8.0__3E__2023-07-25,A-230622-w-3-7,8.0,3E,2023-07-25,0.194,,,,12.0
DX__A-230622-w-4-1__8.0__3F__2023-07-25,A-230622-w-4-1,8.0,3F,2023-07-25,0.096,,,,12.0
DX__A-230622-w-4-2__8.0__3G__2023-07-25,A-230622-w-4-2,8.0,3G,2023-07-25,0.124,,,,12.0
DX__A-230622-w-4-3__8.0__3H__2023-07-25,A-230622-w-4-3,8.0,3H,2023-07-25,0.12,,,,12.0
DX__A-230622-w-3-4__8.0__3B__2023-07-25,A-230622-w-3-4,8.0,3B,2023-07-25,0.114,,,,12.0
DX__A-230622-w-4-4__8.0__4A__2023-07-25,A-230622-w-4-4,8.0,4A,2023-07-25,0.418,,,,12.0
DX__A-230622-w-4-6__8.0__4C__2023-07-26,A-230622-w-4-6,8.0,4C,2023-07-26,0.215,,,,5.0
DX__A-230622-w-4-7__8.0__4D__2023-07-26,A-230622-w-4-7,8.0,4D,2023-07-26,0.675,,,,5.0
DX__A-230622-w-5-1__8.0__4E__2023-07-26,A-230622-w-5-1,8.0,4E,2023-07-26,0.373,,,,5.0
DX__A-230622-w-5-2__8.0__4F__2023-07-26,A-230622-w-5-2,8.0,4F,2023-07-26,0.007,,,,5.0
DX__A-230622-w-5-3__8.0__4G__2023-07-26,A-230622-w-5-3,8.0,4G,2023-07-26,0.013,,,,5.0
DX__A-230622-w-5-4__8.0__4H__2023-07-26,A-230622-w-5-4,8.0,4H,2023-07-26,0.19,,,,5.0
DX__A-230622-w-4-5__8.0__4B__2023-07-25,A-230622-w-4-5,8.0,4B,2023-07-25,0.032,,,,4.0
DX__H-200622-w-19-7__7.0__6A__2023-06-23,H-200622-w-19-7,7.0,6A,2023-06-23,0.1436799208886437,,,,15.0
DX__A-230622-w-3-3__8.0__3A__2023-07-25,A-230622-w-3-3,8.0,3A,2023-07-25,0.006,,,,12.0
DX__A-230622-w-3-1__8.0__2G__2023-07-25,A-230622-w-3-1,8.0,2G,2023-07-25,0.03,,,,12.0
DX__A-230622-w-1-1__8.0__1A__2023-07-24,A-230622-w-1-1,8.0,1A,2023-07-24,0.037,,,,13.0
DX__A-230622-w-1-2__8.0__1B__2023-07-24,A-230622-w-1-2,8.0,1B,2023-07-24,0.036,,,,13.0
DX__A-230622-w-1-3__8.0__1C__2023-07-25,A-230622-w-1-3,8.0,1C,2023-07-25,0.025,,,,14.0
DX__A-230622-w-1-4__8.0__1D__2023-07-25,A-230622-w-1-4,8.0,1D,2023-07-25,0.072,,,,14.0
DX__A-230622-w-1-5__8.0__1E__2023-07-25,A-230622-w-1-5,8.0,1E,2023-07-25,0.04,,,,12.0
DX__A-230622-w-1-6__8.0__1F__2023-07-25,A-230622-w-1-6,8.0,1F,2023-07-25,0.037,,,,12.0
DX__A-230622-w-3-2__8.0__2H__2023-07-25,A-230622-w-3-2,8.0,2H,2023-07-25,0.011,,,,12.0
DX__A-230622-w-1-7__8.0__1G__2023-07-25,A-230622-w-1-7,8.0,1G,2023-07-25,0.105,,,,12.0
DX__A-230622-w-2-2__8.0__2A__2023-07-25,A-230622-w-2-2,8.0,2A,2023-07-25,0.09,,,,12.0
DX__A-230622-w-2-3__8.0__2B__2023-07-25,A-230622-w-2-3,8.0,2B,2023-07-25,0.019,,,,12.0
DX__A-230622-w-2-4__8.0__2C__2023-07-25,A-230622-w-2-4,8.0,2C,2023-07-25,0.044,,,,12.0
DX__A-230622-w-2-5__8.0__2D__2023-07-25,A-230622-w-2-5,8.0,2D,2023-07-25,0.04,,,,12.0
DX__A-230622-w-2-6__8.0__2E__2023-07-25,A-230622-w-2-6,8.0,2E,2023-07-25,0.045,,,,12.0
DX__A-230622-w-2-7__8.0__2F__2023-07-25,A-230622-w-2-7,8.0,2F,2023-07-25,0.117,,,,12.0
DX__A-230622-w-2-1__8.0__1H__2023-07-25,A-230622-w-2-1,8.0,1H,2023-07-25,0.039,,,,12.0
DX__S-240622-w-20-4__5.0__6E__2023-03-03,S-240622-w-20-4,5.0,6E,2023-03-03,0.0031186592565625,,,,1.0
DX__H-200622-w-19-6__7.0__5H__2023-06-23,H-200622-w-19-6,7.0,5H,2023-06-23,0.0008203511460551,,,,15.0
DX__H-200622-w-19-4__7.0__5F__2023-06-23,H-200622-w-19-4,7.0,5F,2023-06-23,0.0402106178920596,,,,15.0
DX__H-200622-w-14-2__7.0__1A__2023-06-19,H-200622-w-14-2,7.0,1A,2023-06-19,0.0512887112976435,,,,12.0
DX__S-240622-w-23-7__5.0__9E__2023-03-08,S-240622-w-23-7,5.0,9E,2023-03-08,0.4354560583032287,,,,6.0
DX__S-240622-w-23-5__5.0__9C__2023-03-08,S-240622-w-23-5,5.0,9C,2023-03-08,0.0085794952609108,,,,6.0
DX__S-240622-w-23-4__5.0__9B__2023-03-08,S-240622-w-23-4,5.0,9B,2023-03-08,0.2002624765464094,,,,6.0
DX__S-240622-w-23-3__5.0__9A__2023-03-08,S-240622-w-23-3,5.0,9A,2023-03-08,0.1991041173939719,,,,6.0
DX__S-240622-w-23-2__5.0__8H__2023-03-08,S-240622-w-23-2,5.0,8H,2023-03-08,0.0791502990094119,,,,6.0
DX__S-240622-w-22-7__5.0__8F__2023-03-08,S-240622-w-22-7,5.0,8F,2023-03-08,0.050885062767791,,,,6.0
DX__S-240622-w-20-6__5.0__6G__2023-03-03,S-240622-w-20-6,5.0,6G,2023-03-03,0.0112908194309019,,,,1.0
DX__S-240622-w-20-7__5.0__6H__2023-03-03,S-240622-w-20-7,5.0,6H,2023-03-03,0.1083362822696371,,,,1.0
DX__S-240622-w-21-1__5.0__7A__2023-03-03,S-240622-w-21-1,5.0,7A,2023-03-03,0.2012999080950211,,,,1.0
DX__S-240622-w-21-2__5.0__7B__2023-03-03,S-240622-w-21-2,5.0,7B,2023-03-03,0.1995432755341817,,,,1.0
DX__S-240622-w-21-3__5.0__7C__2023-03-03,S-240622-w-21-3,5.0,7C,2023-03-03,0.1810922690346413,,,,1.0
DX__S-240622-w-21-4__5.0__7D__2023-03-03,S-240622-w-21-4,5.0,7D,2023-03-03,0.1153712986606313,,,,1.0
DX__H-200622-w-14-3__7.0__1B__2023-06-19,H-200622-w-14-3,7.0,1B,2023-06-19,0.597662692173403,,,,12.0
DX__S-240622-w-21-5__5.0__7E__2023-03-03,S-240622-w-21-5,5.0,7E,2023-03-03,0.2456357864240307,,,,1.0
DX__S-240622-w-21-7__5.0__7G__2023-03-03,S-240622-w-21-7,5.0,7G,2023-03-03,0.0642316514637331,,,,1.0
DX__S-240622-w-22-1__5.0__7H__2023-03-03,S-240622-w-22-1,5.0,7H,2023-03-03,0.8546187131436,,,,1.0
DX__S-240622-w-22-2__5.0__8A__2023-03-03,S-240622-w-22-2,5.0,8A,2023-03-03,0.0204197927513024,,,,1.0
DX__S-240622-w-22-3__5.0__8B__2023-03-03,S-240622-w-22-3,5.0,8B,2023-03-03,0.0604362219331274,,,,1.0
DX__S-240622-w-22-5__5.0__8D__2023-03-08,S-240622-w-22-5,5.0,8D,2023-03-08,0.1838905762179107,,,,6.0
DX__S-240622-w-22-6__5.0__8E__2023-03-08,S-240622-w-22-6,5.0,8E,2023-03-08,0.3979621365064736,,,,6.0
DX__S-240622-w-21-6__5.0__7F__2023-03-03,S-240622-w-21-6,5.0,7F,2023-03-03,0.0788235823253911,,,,1.0
DX__H-200622-w-14-4__7.0__1C__2023-06-19,H-200622-w-14-4,7.0,1C,2023-06-19,0.0810649990812961,,,,12.0
DX__H-200622-w-14-5__7.0__1D__2023-06-19,H-200622-w-14-5,7.0,1D,2023-06-19,0.3454706557936238,,,,12.0
DX__H-200622-w-14-6__7.0__1E__2023-06-19,H-200622-w-14-6,7.0,1E,2023-06-19,0.0282048794575578,,,,12.0
DX__H-200622-w-17-4__7.0__3H__2023-06-22,H-200622-w-17-4,7.0,3H,2023-06-22,0.0015892906399051,,,,14.0
DX__H-200622-w-17-5__7.0__4A__2023-06-22,H-200622-w-17-5,7.0,4A,2023-06-22,0.0045599900216688,,,,14.0
DX__H-200622-w-17-6__7.0__4B__2023-06-22,H-200622-w-17-6,7.0,4B,2023-06-22,0.2553259118750634,,,,14.0
DX__H-200622-w-17-7__7.0__4C__2023-06-22,H-200622-w-17-7,7.0,4C,2023-06-22,0.1292555995112763,,,,14.0
DX__H-200622-w-18-1__7.0__4D__2023-06-22,H-200622-w-18-1,7.0,4D,2023-06-22,0.0005454105712192,,,,14.0
DX__H-200622-w-18-2__7.0__4E__2023-06-22,H-200622-w-18-2,7.0,4E,2023-06-22,0.0361647443924416,,,,14.0
DX__H-200622-w-17-3__7.0__3G__2023-06-22,H-200622-w-17-3,7.0,3G,2023-06-22,0.0140398516304423,,,,14.0
DX__H-200622-w-18-3__7.0__4F__2023-06-22,H-200622-w-18-3,7.0,4F,2023-06-22,0.005554693727376,,,,14.0
DX__H-200622-w-18-5__7.0__4H__2023-06-23,H-200622-w-18-5,7.0,4H,2023-06-23,0.1159869226639104,,,,15.0
DX__H-200622-w-18-6__7.0__5A__2023-06-23,H-200622-w-18-6,7.0,5A,2023-06-23,0.1714735071285608,,,,15.0
DX__H-200622-w-18-7__7.0__5B__2023-06-23,H-200622-w-18-7,7.0,5B,2023-06-23,0.2879633698683906,,,,15.0
DX__H-200622-w-19-1__7.0__5C__2023-06-23,H-200622-w-19-1,7.0,5C,2023-06-23,0.121,,,,15.0
DX__H-200622-w-19-2__7.0__5D__2023-06-23,H-200622-w-19-2,7.0,5D,2023-06-23,0.0234750074546895,,,,15.0
DX__H-200622-w-19-3__7.0__5E__2023-06-23,H-200622-w-19-3,7.0,5E,2023-06-23,0.0968215528375432,,,,15.0
DX__H-200622-w-18-4__7.0__4G__2023-06-23,H-200622-w-18-4,7.0,4G,2023-06-23,0.0052954001771243,,,,15.0
DX__H-200622-w-19-5__7.0__5G__2023-06-23,H-200622-w-19-5,7.0,5G,2023-06-23,0.1769544363114688,,,,15.0
DX__H-200622-w-17-2__7.0__3F__2023-06-22,H-200622-w-17-2,7.0,3F,2023-06-22,0.0138342050216219,,,,14.0
DX__H-200622-w-16-7__7.0__3D__2023-06-22,H-200622-w-16-7,7.0,3D,2023-06-22,0.0971344933292263,,,,15.0
DX__H-200622-w-14-7__7.0__1F__2023-06-19,H-200622-w-14-7,7.0,1F,2023-06-19,0.3837410426372479,,,,12.0
DX__H-200622-w-15-1__7.0__1G__2023-06-19,H-200622-w-15-1,7.0,1G,2023-06-19,0.2575992010182189,,,,12.0
DX__H-200622-w-15-2__7.0__1H__2023-06-19,H-200622-w-15-2,7.0,1H,2023-06-19,1.169004853707026,,,,12.0
DX__H-200622-w-15-3__7.0__2A__2023-06-19,H-200622-w-15-3,7.0,2A,2023-06-19,0.1042516542257919,,,,12.0
DX__H-200622-w-15-4__7.0__2B__2023-06-19,H-200622-w-15-4,7.0,2B,2023-06-19,1.1758090741119085,,,,12.0
DX__H-200622-w-15-5__7.0__2C__2023-06-19,H-200622-w-15-5,7.0,2C,2023-06-19,0.3267858731509128,,,,12.0
DX__H-200622-w-17-1__7.0__3E__2023-06-22,H-200622-w-17-1,7.0,3E,2023-06-22,0.0195945453578183,,,,14.0
DX__H-200622-w-15-6__7.0__2D__2023-06-19,H-200622-w-15-6,7.0,2D,2023-06-19,0.8573094181229204,,,,12.0
DX__H-200622-w-16-1__7.0__2F__2023-06-19,H-200622-w-16-1,7.0,2F,2023-06-19,0.5301569575388929,,,,12.0
DX__H-200622-w-16-2__7.0__2G__2023-06-22,H-200622-w-16-2,7.0,2G,2023-06-22,0.3939786672937398,,,,15.0
DX__H-200622-w-16-3__7.0__2H__2023-06-22,H-200622-w-16-3,7.0,2H,2023-06-22,0.0024878769088811,,,,15.0
DX__H-200622-w-16-4__7.0__3A__2023-06-22,H-200622-w-16-4,7.0,3A,2023-06-22,0.010347153828581,,,,15.0
DX__H-200622-w-16-5__7.0__3B__2023-06-22,H-200622-w-16-5,7.0,3B,2023-06-22,0.0444710791574032,,,,15.0
DX__H-200622-w-16-6__7.0__3C__2023-06-22,H-200622-w-16-6,7.0,3C,2023-06-22,0.229785497175265,,,,15.0
DX__H-200622-w-15-7__7.0__2E__2023-06-19,H-200622-w-15-7,7.0,2E,2023-06-19,0.4372762196073312,,,,12.0
DX__H-200623-w-22-1__7.0__8G__2023-06-26,H-200623-w-22-1,7.0,8G,2023-06-26,0.2909474809855122,,,,17.0
DX__H-200622-w-22-3__7.0__8B__2023-06-26,H-200622-w-22-3,7.0,8B,2023-06-26,0.0643562121146417,,,,17.0
DX__R-280622-w-F21__2.0__7A__2023-02-08,R-280622-w-F21,2.0,7A,2023-02-08,0.0312802433291856,,,,19.0
DX__R-040722-w-G14__2.0__9B__2023-02-09,R-040722-w-G14,2.0,9B,2023-02-09,1.5403359601824969,,,,0.0
DX__R-040722-w-G13__2.0__9A__2023-02-09,R-040722-w-G13,2.0,9A,2023-02-09,0.4152841144753214,,,,0.0
DX__R-040722-w-G12__2.0__8H__2023-02-09,R-040722-w-G12,2.0,8H,2023-02-09,0.734653670676068,,,,0.0
DX__R-040722-w-G11__2.0__8G__2023-02-09,R-040722-w-G11,2.0,8G,2023-02-09,1.209214710355316,,,,0.0
DX__R-040722-w-G10__2.0__8F__2023-02-09,R-040722-w-G10,2.0,8F,2023-02-09,0.4000760403705239,,,,0.0
DX__R-040722-w-G9__2.0__8E__2023-02-09,R-040722-w-G9,2.0,8E,2023-02-09,0.2635490114751831,,,,0.0
DX__R-040722-w-G8__2.0__8D__2023-02-09,R-040722-w-G8,2.0,8D,2023-02-09,0.3392437439513341,,,,0.0
DX__R-040722-w-G15__2.0__9C__2023-02-09,R-040722-w-G15,2.0,9C,2023-02-09,1.3058205447255633,,,,0.0
DX__R-040722-w-G7__2.0__8C__2023-02-09,R-040722-w-G7,2.0,8C,2023-02-09,1.1682566016867135,,,,0.0
DX__R-040722-w-G5__2.0__8A__2023-02-09,R-040722-w-G5,2.0,8A,2023-02-09,0.9501589935020048,,,,0.0
DX__R-040722-w-G4__2.0__7H__2023-02-09,R-040722-w-G4,2.0,7H,2023-02-09,0.2037536291995022,,,,0.0
DX__R-040722-w-G3__2.0__7G__2023-02-09,R-040722-w-G3,2.0,7G,2023-02-09,0.2040992672473386,,,,0.0
DX__R-040722-w-G2__2.0__7F__2023-02-09,R-040722-w-G2,2.0,7F,2023-02-09,0.2958661689478777,,,,0.0
DX__R-040722-w-G1__2.0__7E__2023-02-09,R-040722-w-G1,2.0,7E,2023-02-09,0.1010991289921194,,,,0.0
DX__R-280622-w-F24__2.0__7D__2023-02-08,R-280622-w-F24,2.0,7D,2023-02-08,0.0523641642472003,,,,19.0
DX__R-280622-w-F23__2.0__7C__2023-02-08,R-280622-w-F23,2.0,7C,2023-02-08,0.4557237660721692,,,,19.0
DX__R-040722-w-G6__2.0__8B__2023-02-09,R-040722-w-G6,2.0,8B,2023-02-09,0.1786948707313701,,,,0.0
DX__R-280622-w-F22__2.0__7B__2023-02-08,R-280622-w-F22,2.0,7B,2023-02-08,0.583091386699848,,,,19.0
DX__R-040722-w-G16__2.0__9D__2023-02-09,R-040722-w-G16,2.0,9D,2023-02-09,0.0934950919397207,,,,0.0
DX__R-040722-w-G18__2.0__9F__2023-02-09,R-040722-w-G18,2.0,9F,2023-02-09,3.246232545278584,,,,0.0
DX__R-070722-w-H12__2.0__11H__2023-02-10,R-070722-w-H12,2.0,11H,2023-02-10,0.5666735794276234,,,,1.0
DX__R-070722-w-H11__2.0__11G__2023-02-10,R-070722-w-H11,2.0,11G,2023-02-10,0.2307133969307341,,,,1.0
DX__R-070722-w-H10__2.0__11F__2023-02-10,R-070722-w-H10,2.0,11F,2023-02-10,0.1195907645513618,,,,1.0
DX__R-070722-w-H9__2.0__11E__2023-02-10,R-070722-w-H9,2.0,11E,2023-02-10,0.1508710078805475,,,,1.0
DX__R-070722-w-H8__2.0__11D__2023-02-10,R-070722-w-H8,2.0,11D,2023-02-10,0.120973316742707,,,,1.0
DX__R-070722-w-H7__2.0__11C__2023-02-10,R-070722-w-H7,2.0,11C,2023-02-10,0.0876192451265035,,,,1.0
DX__R-070722-w-H6__2.0__11B__2023-02-10,R-070722-w-H6,2.0,11B,2023-02-10,0.4168394856905848,,,,1.0
DX__R-040722-w-G17__2.0__9E__2023-02-09,R-040722-w-G17,2.0,9E,2023-02-09,0.5343564219549288,,,,0.0
DX__R-070722-w-H5__2.0__11A__2023-02-10,R-070722-w-H5,2.0,11A,2023-02-10,0.6888566293377575,,,,1.0
DX__R-070722-w-H3__2.0__10G__2023-02-10,R-070722-w-H3,2.0,10G,2023-02-10,0.3881515277201714,,,,1.0
DX__R-070722-w-H2__2.0__10F__2023-02-10,R-070722-w-H2,2.0,10F,2023-02-10,0.4591801465505323,,,,1.0
DX__R-070722-w-H1__2.0__10E__2023-02-10,R-070722-w-H1,2.0,10E,2023-02-10,0.940481128162588,,,,1.0
DX__R-040722-w-G24__2.0__10D__2023-02-09,R-040722-w-G24,2.0,10D,2023-02-09,0.7681805613161897,,,,0.0
DX__R-040722-w-G23__2.0__10C__2023-02-09,R-040722-w-G23,2.0,10C,2023-02-09,0.3185054610811558,,,,0.0
DX__R-040722-w-G20__2.0__9H__2023-02-09,R-040722-w-G20,2.0,9H,2023-02-09,0.7351721277478225,,,,0.0
DX__R-040722-w-G19__2.0__9G__2023-02-09,R-040722-w-G19,2.0,9G,2023-02-09,1.494020461772432,,,,0.0
DX__R-070722-w-H4__2.0__10H__2023-02-10,R-070722-w-H4,2.0,10H,2023-02-10,0.3259366791096363,,,,1.0
DX__R-210622-w-E2__2.0__1F__2023-01-19,R-210622-w-E2,2.0,1F,2023-01-19,0.3090004147656574,,,,0.0
DX__R-280622-w-F20__2.0__6H__2023-02-08,R-280622-w-F20,2.0,6H,2023-02-08,0.4147656574035669,,,,19.0
DX__R-280622-w-F19__2.0__6G__2023-02-08,R-280622-w-F19,2.0,6G,2023-02-08,0.3769182911654914,,,,19.0
DX__R-210622-w-E21__2.0__4A__2023-01-19,R-210622-w-E21,2.0,4A,2023-01-19,0.8399004562422231,,,,0.0
DX__R-210622-w-E20__2.0__3H__2023-01-19,R-210622-w-E20,2.0,3H,2023-01-19,0.3606733029171851,,,,0.0
DX__R-210622-w-E19__2.0__3G__2023-01-19,R-210622-w-E19,2.0,3G,2023-01-19,0.0693004285911793,,,,0.0
DX__R-210622-w-E18__2.0__3F__2023-01-19,R-210622-w-E18,2.0,3F,2023-01-19,1.190204617724319,,,,0.0
DX__R-210622-w-E17__2.0__3E__2023-01-19,R-210622-w-E17,2.0,3E,2023-01-19,1.5097469929489835,,,,0.0
DX__R-210622-w-E16__2.0__3D__2023-01-19,R-210622-w-E16,2.0,3D,2023-01-19,0.1050739665422369,,,,0.0
DX__R-210622-w-E15__2.0__3C__2023-01-19,R-210622-w-E15,2.0,3C,2023-01-19,1.3103138393474354,,,,0.0
DX__R-210622-w-E22__2.0__4B__2023-01-19,R-210622-w-E22,2.0,4B,2023-01-19,3.815844048112816,,,,0.0
DX__R-210622-w-E14__2.0__3B__2023-01-19,R-210622-w-E14,2.0,3B,2023-01-19,0.0760403705239872,,,,0.0
DX__R-210622-w-E12__2.0__2H__2023-01-19,R-210622-w-E12,2.0,2H,2023-01-19,0.1081847089727637,,,,0.0
DX__R-210622-w-E11__2.0__2G__2023-01-19,R-210622-w-E11,2.0,2G,2023-01-19,0.1845707175445873,,,,0.0
DX__R-210622-w-E10__2.0__2F__2023-01-19,R-210622-w-E10,2.0,2F,2023-01-19,0.3783008433568367,,,,0.0
DX__R-210622-w-E9__2.0__2E__2023-01-19,R-210622-w-E9,2.0,2E,2023-01-19,0.0796695700262685,,,,0.0
DX__R-210622-w-E8__2.0__2D__2023-01-19,R-210622-w-E8,2.0,2D,2023-01-19,0.0063943038849716,,,,0.0
DX__R-210622-w-E7__2.0__2C__2023-01-19,R-210622-w-E7,2.0,2C,2023-01-19,0.1420572376607217,,,,0.0
DX__R-210622-w-E6__2.0__2B__2023-01-19,R-210622-w-E6,2.0,2B,2023-01-19,0.3997304023226877,,,,0.0
DX__R-210622-w-E13__2.0__3A__2023-01-19,R-210622-w-E13,2.0,3A,2023-01-19,0.1835338034010784,,,,0.0
DX__R-210622-w-E23__2.0__4C__2023-01-19,R-210622-w-E23,2.0,4C,2023-01-19,0.4636734411724043,,,,0.0
DX__R-210622-w-E24__2.0__4D__2023-01-19,R-210622-w-E24,2.0,4D,2023-01-19,0.1486243605696115,,,,0.0
DX__R-280622-w-F1__2.0__4E__2023-02-08,R-280622-w-F1,2.0,4E,2023-02-08,0.1462048942347573,,,,19.0
DX__R-280622-w-F18__2.0__6F__2023-02-08,R-280622-w-F18,2.0,6F,2023-02-08,0.4130374671643854,,,,19.0
DX__R-280622-w-F17__2.0__6E__2023-02-08,R-280622-w-F17,2.0,6E,2023-02-08,0.3461565049080602,,,,19.0
DX__R-280622-w-F16__2.0__6D__2023-02-08,R-280622-w-F16,2.0,6D,2023-02-08,0.1163072030969169,,,,19.0
DX__R-280622-w-F15__2.0__6C__2023-02-08,R-280622-w-F15,2.0,6C,2023-02-08,0.557168533112125,,,,19.0
DX__R-280622-w-F14__2.0__6B__2023-02-08,R-280622-w-F14,2.0,6B,2023-02-08,0.0945320060832296,,,,19.0
DX__R-280622-w-F13__2.0__6A__2023-02-08,R-280622-w-F13,2.0,6A,2023-02-08,1.1202129130374672,,,,19.0
DX__R-280622-w-F12__2.0__5H__2023-02-08,R-280622-w-F12,2.0,5H,2023-02-08,0.0917669017005392,,,,19.0
DX__R-280622-w-F11__2.0__5G__2023-02-08,R-280622-w-F11,2.0,5G,2023-02-08,0.4574519563113507,,,,19.0
DX__R-280622-w-F10__2.0__5F__2023-02-08,R-280622-w-F10,2.0,5F,2023-02-08,0.3219618415595188,,,,19.0
